snapshot_date,organization_id,blood_group,component_type,available_units,reserved_units,quarantined_units,near_expiry_units,incoming_units,expected_expiry_units,safety_stock_target
2024-12-31,HOSP_A,A_POSITIVE,RBC,38,3,1,2,16,1,18
2024-12-31,HOSP_A,A_POSITIVE,PLASMA,16,1,0,1,8,0,10
2024-12-31,HOSP_A,A_POSITIVE,PLATELETS,14,2,0,1,6,0,7
2024-12-31,HOSP_A,A_POSITIVE,WHOLE_BLOOD,7,1,0,0,3,0,4
2024-12-31,HOSP_A,A_NEGATIVE,RBC,8,1,0,0,2,0,4
2024-12-31,HOSP_A,A_NEGATIVE,PLASMA,6,1,0,0,2,0,2
2024-12-31,HOSP_A,A_NEGATIVE,PLATELETS,4,0,0,0,2,0,2
2024-12-31,HOSP_A,A_NEGATIVE,WHOLE_BLOOD,2,0,0,0,1,0,1
2024-12-31,HOSP_A,B_POSITIVE,RBC,19,1,1,0,8,0,8
2024-12-31,HOSP_A,B_POSITIVE,PLASMA,10,1,0,0,4,0,5
2024-12-31,HOSP_A,B_POSITIVE,PLATELETS,6,1,0,0,2,0,3
2024-12-31,HOSP_A,B_POSITIVE,WHOLE_BLOOD,6,1,0,0,2,0,2
2024-12-31,HOSP_A,B_NEGATIVE,RBC,5,0,0,0,2,0,2
2024-12-31,HOSP_A,B_NEGATIVE,PLASMA,2,0,0,0,1,0,1
2024-12-31,HOSP_A,B_NEGATIVE,PLATELETS,1,0,0,0,1,0,1
2024-12-31,HOSP_A,B_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
2024-12-31,HOSP_A,AB_POSITIVE,RBC,6,1,0,0,3,0,3
2024-12-31,HOSP_A,AB_POSITIVE,PLASMA,3,0,0,0,1,0,1
2024-12-31,HOSP_A,AB_POSITIVE,PLATELETS,2,0,0,0,1,0,1
2024-12-31,HOSP_A,AB_POSITIVE,WHOLE_BLOOD,2,0,0,0,0,0,1
2024-12-31,HOSP_A,AB_NEGATIVE,RBC,2,0,0,0,1,0,1
2024-12-31,HOSP_A,AB_NEGATIVE,PLASMA,2,0,0,0,0,0,1
2024-12-31,HOSP_A,AB_NEGATIVE,PLATELETS,1,0,0,0,0,0,1
2024-12-31,HOSP_A,AB_NEGATIVE,WHOLE_BLOOD,1,0,0,0,0,0,1
