unit_code,organization_id,blood_group,component_type,collection_date,expiry_date,status,quality_testing_status,storage_location,source_donation_id
BU-A7F9D707,HOSP_E,O_POSITIVE,WHOLE_BLOOD,2024-12-08,2025-01-12,DISPATCHED,PASSED,Shelf-A1,DON_00090
BU-E550B1C5,HOSP_D,O_POSITIVE,WHOLE_BLOOD,2024-12-19,2025-01-23,AVAILABLE,PASSED,Shelf-A1,DON_00113
BU-C5695426,BB_B,B_POSITIVE,RBC,2024-12-14,2025-01-25,AVAILABLE,FAILED,Shelf-B1,DON_00329
BU-22227456,BB_B,O_NEGATIVE,PLATELETS,2024-12-26,2024-12-31,DISPATCHED,PASSED,Fridge-2,DON_00727
BU-30135125,BB_B,O_POSITIVE,PLATELETS,2024-12-29,2025-01-03,RECEIVED,PASSED,Shelf-A2,DON_00416
BU-90C395E8,HOSP_C,B_POSITIVE,PLATELETS,2024-12-29,2025-01-03,RESERVED,PASSED,Fridge-3,DON_00114
BU-749D75EC,HOSP_B,A_POSITIVE,PLASMA,2024-03-06,2025-03-06,USED,PENDING,Shelf-B2,DON_00784
BU-C399E861,HOSP_E,A_POSITIVE,PLASMA,2024-07-23,2025-07-23,AVAILABLE,PASSED,Shelf-C1,DON_00629
BU-A6DF568E,HOSP_E,B_POSITIVE,PLATELETS,2024-12-27,2025-01-01,AVAILABLE,PASSED,Fridge-1,DON_00697
BU-E9DFBCE4,HOSP_A,B_POSITIVE,RBC,2024-12-31,2025-02-11,USED,PASSED,Fridge-2,DON_00311
BU-030E161C,HOSP_C,A_POSITIVE,WHOLE_BLOOD,2024-12-30,2025-02-03,AVAILABLE,PASSED,Shelf-C1,DON_00311
BU-971D7C2F,HOSP_C,O_POSITIVE,RBC,2024-12-20,2025-01-31,AVAILABLE,REVIEW_REQUIRED,Shelf-A2,DON_00469
BU-87CD0051,BB_A,A_POSITIVE,PLATELETS,2024-12-31,2025-01-05,RECEIVED,REVIEW_REQUIRED,Shelf-B2,DON_00232
BU-C44DDAD3,BB_B,O_POSITIVE,PLASMA,2024-10-20,2025-10-20,AVAILABLE,REVIEW_REQUIRED,Shelf-A2,DON_00546
BU-A0069A00,HOSP_B,O_POSITIVE,RBC,2024-12-17,2025-01-28,AVAILABLE,PASSED,Shelf-C1,DON_00109
BU-E7BCB887,HOSP_B,O_POSITIVE,RBC,2024-12-15,2025-01-26,AVAILABLE,FAILED,Fridge-3,DON_00087
BU-665C33D4,HOSP_A,O_POSITIVE,PLATELETS,2024-12-26,2024-12-31,DISPATCHED,PASSED,Shelf-A2,DON_00461
BU-3B0DF59F,HOSP_B,A_POSITIVE,PLASMA,2024-03-18,2025-03-18,DISPATCHED,FAILED,Shelf-A1,DON_00128
BU-0B511527,BB_B,O_POSITIVE,RBC,2024-12-02,2025-01-13,AVAILABLE,PASSED,Fridge-2,DON_00583
BU-620C84CD,HOSP_D,O_NEGATIVE,WHOLE_BLOOD,2024-12-08,2025-01-12,EXPIRED,PENDING,Shelf-A2,DON_00544
BU-89A0FF2D,HOSP_A,O_POSITIVE,PLASMA,2024-10-30,2025-10-30,AVAILABLE,REVIEW_REQUIRED,Shelf-A1,DON_00310
BU-31E69A27,HOSP_A,B_POSITIVE,PLATELETS,2024-12-30,2025-01-04,RESERVED,PASSED,Fridge-1,DON_00020
BU-65A80FD0,BB_B,B_POSITIVE,RBC,2024-11-23,2025-01-04,AVAILABLE,PASSED,Fridge-2,DON_00177
BU-9612903A,BB_A,AB_POSITIVE,WHOLE_BLOOD,2024-12-28,2025-02-01,EXPIRED,PASSED,Shelf-B1,DON_00473
BU-CEC4EA79,HOSP_E,B_POSITIVE,WHOLE_BLOOD,2024-11-30,2025-01-04,AVAILABLE,FAILED,Shelf-A1,DON_00307
BU-8CB4872C,HOSP_C,O_POSITIVE,WHOLE_BLOOD,2024-12-15,2025-01-19,AVAILABLE,PASSED,Shelf-B2,DON_00132
BU-B8DAD1DB,HOSP_E,AB_POSITIVE,PLASMA,2024-03-24,2025-03-24,DISPATCHED,PASSED,Shelf-C1,DON_00247
BU-0FAC46A4,BB_B,O_POSITIVE,RBC,2024-12-03,2025-01-14,AVAILABLE,PASSED,Fridge-1,DON_00171
BU-05AAFDDE,HOSP_E,O_POSITIVE,PLATELETS,2024-12-28,2025-01-02,QUARANTINED,REVIEW_REQUIRED,Shelf-C1,DON_00503
BU-0D2C2338,HOSP_E,A_POSITIVE,RBC,2024-12-24,2025-02-04,QUARANTINED,REVIEW_REQUIRED,Shelf-A1,DON_00349
BU-E43A81F3,HOSP_B,O_POSITIVE,PLATELETS,2024-12-31,2025-01-05,QUARANTINED,REVIEW_REQUIRED,Shelf-A2,DON_00474
BU-ED192D10,HOSP_C,O_POSITIVE,RBC,2024-12-24,2025-02-04,USED,PASSED,Fridge-1,DON_00507
BU-929A4571,HOSP_C,O_POSITIVE,PLASMA,2024-09-12,2025-09-12,USED,PASSED,Platelet-Agitator-1,DON_00344
BU-12624B8F,HOSP_D,A_POSITIVE,WHOLE_BLOOD,2024-12-20,2025-01-24,DISPATCHED,PASSED,Shelf-A2,DON_00218
BU-7E2AEDC4,HOSP_E,O_POSITIVE,RBC,2024-12-20,2025-01-31,AVAILABLE,PASSED,Shelf-A1,DON_00494
BU-2FEC43FD,HOSP_B,B_POSITIVE,PLASMA,2024-04-27,2025-04-27,AVAILABLE,REVIEW_REQUIRED,Fridge-3,DON_00721
BU-7909FCD5,HOSP_C,O_POSITIVE,PLASMA,2024-09-18,2025-09-18,RESERVED,REVIEW_REQUIRED,Platelet-Agitator-1,DON_00632
BU-7EDEAF36,HOSP_E,O_POSITIVE,PLASMA,2024-06-03,2025-06-03,AVAILABLE,PASSED,Fridge-1,DON_00151
BU-D79D05D1,HOSP_E,O_POSITIVE,PLATELETS,2024-12-31,2025-01-05,DISPATCHED,REVIEW_REQUIRED,Platelet-Agitator-1,DON_00703
BU-6E5B2393,HOSP_C,O_NEGATIVE,WHOLE_BLOOD,2024-12-31,2025-02-04,QUARANTINED,FAILED,Shelf-B2,DON_00607
BU-DC78F388,HOSP_C,A_POSITIVE,PLASMA,2024-04-06,2025-04-06,USED,FAILED,Shelf-B2,DON_00351
BU-E1A89BCC,HOSP_C,B_POSITIVE,WHOLE_BLOOD,2024-12-12,2025-01-16,AVAILABLE,PASSED,Shelf-C1,DON_00114
BU-4974697B,HOSP_E,O_POSITIVE,PLASMA,2024-03-09,2025-03-09,USED,PENDING,Fridge-2,DON_00099
BU-24FAC8CD,BB_A,O_POSITIVE,WHOLE_BLOOD,2024-12-20,2025-01-24,AVAILABLE,REVIEW_REQUIRED,Shelf-B1,DON_00216
BU-1F2D349E,HOSP_D,O_POSITIVE,WHOLE_BLOOD,2024-12-14,2025-01-18,AVAILABLE,PENDING,Shelf-B2,DON_00390
