date,organization_id,organization_name,organization_type,region,blood_group,component_type,units_used,emergency_units,scheduled_units,hospital_admissions,icu_admissions,emergency_department_visits,scheduled_surgeries,trauma_cases,day_of_week,day_of_month,week_of_year,month,quarter,year,is_weekend,is_holiday,season,recent_emergency_count_7d,regional_emergency_index,population_served,temperature_c,rainfall_mm,special_event_flag,outbreak_flag,inventory_available_start,inventory_reserved_start,incoming_units,units_expired,units_discarded
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_POSITIVE,RBC,11,4,7,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,40,4,6,1,1
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_POSITIVE,PLASMA,2,1,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_POSITIVE,PLATELETS,4,1,3,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,14,1,2,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_POSITIVE,WHOLE_BLOOD,6,2,4,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,20,4,4,1,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_NEGATIVE,RBC,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_NEGATIVE,PLASMA,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,1,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_NEGATIVE,PLATELETS,1,0,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,2,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,A_NEGATIVE,WHOLE_BLOOD,2,1,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,5,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_POSITIVE,RBC,4,1,3,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,15,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_POSITIVE,PLASMA,2,1,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,8,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_POSITIVE,PLATELETS,3,1,2,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,13,1,2,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_POSITIVE,WHOLE_BLOOD,2,1,1,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,7,1,1,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_NEGATIVE,RBC,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_NEGATIVE,PLASMA,3,1,2,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,13,2,2,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_NEGATIVE,PLATELETS,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,0,0,0,0,0
2024-11-01,HOSP_A,Metro General Hospital,HOSPITAL,Central,B_NEGATIVE,WHOLE_BLOOD,0,0,0,882,65,86,17,3,4,1,44,11,4,2024,0,1,AUTUMN,620,5.17,850000,24.6,13.2,0,0,2,0,0,0,0
