transfer_id,request_id,source_organization_id,destination_organization_id,status,priority,pickup_time,dispatch_time,expected_arrival,actual_arrival,route_distance_km,route_duration_minutes
TRF_00001,REQ_00179,BB_A,HOSP_A,CANCELLED,ROUTINE,2022-12-08 16:00:00,2022-12-08 16:30:00,2022-12-08 18:11:00,,76.2,101
TRF_00002,REQ_00073,BB_B,HOSP_C,CANCELLED,URGENT,2023-07-12 07:00:00,2023-07-12 07:58:00,2023-07-12 08:10:00,,6.9,12
TRF_00003,REQ_00014,HOSP_A,HOSP_B,PREPARING,ROUTINE,2024-08-20 10:00:00,,2024-08-20 12:17:00,,65.0,117
TRF_00004,REQ_00109,HOSP_A,HOSP_D,VERIFIED,ROUTINE,2023-10-27 09:00:00,2023-10-27 09:55:00,2023-10-27 11:05:00,2023-10-27 11:09:00,31.6,70
TRF_00005,REQ_00068,HOSP_A,HOSP_D,READY_FOR_PICKUP,URGENT,2022-04-11 13:00:00,2022-04-11 13:45:00,2022-04-11 16:37:00,,74.5,172
TRF_00006,REQ_00149,HOSP_E,HOSP_C,PREPARING,ROUTINE,2023-12-03 08:00:00,,2023-12-03 10:24:00,,68.9,97
TRF_00007,REQ_00066,HOSP_E,HOSP_C,IN_TRANSIT,URGENT,2023-06-12 14:00:00,2023-06-12 14:44:00,2023-06-12 17:14:00,,51.4,150
TRF_00008,REQ_00009,BB_B,HOSP_D,IN_TRANSIT,URGENT,2022-11-17 09:00:00,2022-11-17 09:17:00,2022-11-17 12:02:00,,68.5,165
TRF_00009,REQ_00059,HOSP_E,BB_A,READY_FOR_PICKUP,ROUTINE,2024-08-14 15:00:00,2024-08-14 15:46:00,2024-08-14 16:43:00,,39.4,57
TRF_00010,REQ_00116,HOSP_E,HOSP_A,DELIVERED,EMERGENCY,2023-05-18 07:00:00,2023-05-18 07:12:00,2023-05-18 08:22:00,2023-05-18 08:38:00,46.2,70
TRF_00011,REQ_00192,BB_A,HOSP_A,PREPARING,EMERGENCY,2023-12-01 10:00:00,,2023-12-01 11:18:00,,31.9,61
TRF_00012,REQ_00127,HOSP_D,HOSP_C,PREPARING,EMERGENCY,2022-04-23 15:00:00,,2022-04-23 16:39:00,,45.7,73
TRF_00013,REQ_00087,HOSP_E,BB_A,DELIVERED,URGENT,2022-11-10 13:00:00,2022-11-10 13:59:00,2022-11-10 15:18:00,2022-11-10 15:46:00,37.9,79
TRF_00014,REQ_00090,HOSP_A,BB_B,CANCELLED,ROUTINE,2023-11-14 14:00:00,2023-11-14 14:18:00,2023-11-14 15:27:00,,52.5,69
TRF_00015,REQ_00200,HOSP_A,BB_A,CANCELLED,EMERGENCY,2023-03-23 10:00:00,2023-03-23 11:00:00,2023-03-23 11:30:00,,19.7,30
