model_name,model_version,organization_id,blood_group,component_type,forecast_horizon,mae,rmse,wape,bias,trained_at
seasonal_naive,v1,BB_A,AB_NEGATIVE,PLASMA,24h,1.1341,1.502,1.2828,-0.0122,2026-09-05T14:50:49.121772
xgboost,v1,BB_A,AB_NEGATIVE,PLASMA,24h,0.6997,0.8338,0.7914,0.0848,2026-09-05T14:50:49.121772
seasonal_naive,v1,BB_A,AB_NEGATIVE,PLATELETS,24h,1.1159,1.4335,1.2797,-0.0061,2026-09-05T14:50:49.155830
xgboost,v1,BB_A,AB_NEGATIVE,PLATELETS,24h,0.6992,0.7981,0.8019,0.0487,2026-09-05T14:50:49.155830
seasonal_naive,v1,BB_A,AB_NEGATIVE,RBC,24h,1.1402,1.4713,0.9034,0.0061,2026-09-05T14:50:49.183221
xgboost,v1,BB_A,AB_NEGATIVE,RBC,24h,0.7899,0.9695,0.6258,0.0057,2026-09-05T14:50:49.183221
seasonal_naive,v1,BB_A,AB_NEGATIVE,WHOLE_BLOOD,24h,1.0549,1.399,1.0485,-0.0305,2026-09-05T14:50:49.214338
xgboost,v1,BB_A,AB_NEGATIVE,WHOLE_BLOOD,24h,0.6709,0.8393,0.6669,-0.0539,2026-09-05T14:50:49.214338
seasonal_naive,v1,BB_A,AB_POSITIVE,PLASMA,24h,1.128,1.4377,0.881,0.0061,2026-09-05T14:50:49.360811
xgboost,v1,BB_A,AB_POSITIVE,PLASMA,24h,0.7438,0.8998,0.5809,-0.0049,2026-09-05T14:50:49.360811
seasonal_naive,v1,BB_A,AB_POSITIVE,PLATELETS,24h,1.3598,1.7373,1.1615,-0.0671,2026-09-05T14:50:49.402386
xgboost,v1,BB_A,AB_POSITIVE,PLATELETS,24h,0.7859,0.9852,0.6713,0.0228,2026-09-05T14:50:49.402386
seasonal_naive,v1,BB_A,AB_POSITIVE,RBC,24h,1.3598,1.7583,0.829,0.0305,2026-09-05T14:50:49.431235
xgboost,v1,BB_A,AB_POSITIVE,RBC,24h,0.8058,1.0085,0.4913,0.0542,2026-09-05T14:50:49.431235
seasonal_naive,v1,BB_A,AB_POSITIVE,WHOLE_BLOOD,24h,0.9695,1.2855,1.1042,0.0427,2026-09-05T14:50:49.465604
xgboost,v1,BB_A,AB_POSITIVE,WHOLE_BLOOD,24h,0.695,0.8335,0.7916,0.0814,2026-09-05T14:50:49.465604
seasonal_naive,v1,BB_A,A_NEGATIVE,PLASMA,24h,1.5793,1.949,0.9774,0.0061,2026-09-05T14:50:49.491365
xgboost,v1,BB_A,A_NEGATIVE,PLASMA,24h,0.8041,0.9775,0.4977,-0.0539,2026-09-05T14:50:49.491365
seasonal_naive,v1,BB_A,A_NEGATIVE,PLATELETS,24h,1.3171,1.725,0.8926,0.0488,2026-09-05T14:50:49.578910
xgboost,v1,BB_A,A_NEGATIVE,PLATELETS,24h,0.7435,0.952,0.5038,-0.0256,2026-09-05T14:50:49.578910
seasonal_naive,v1,BB_A,A_NEGATIVE,RBC,24h,1.6341,2.0482,0.5572,0.0244,2026-09-05T14:50:49.639078
xgboost,v1,BB_A,A_NEGATIVE,RBC,24h,0.8891,1.1423,0.3032,-0.1127,2026-09-05T14:50:49.639078
seasonal_naive,v1,BB_A,A_NEGATIVE,WHOLE_BLOOD,24h,1.2195,1.6454,0.8929,-0.061,2026-09-05T14:50:49.670961
xgboost,v1,BB_A,A_NEGATIVE,WHOLE_BLOOD,24h,0.8127,0.9878,0.595,-0.0797,2026-09-05T14:50:49.670961
seasonal_naive,v1,BB_A,A_POSITIVE,PLASMA,24h,1.3841,1.7824,0.1935,0.1037,2026-09-05T14:50:49.698018
xgboost,v1,BB_A,A_POSITIVE,PLASMA,24h,0.8767,1.1268,0.1226,-0.0842,2026-09-05T14:50:49.698018
seasonal_naive,v1,BB_A,A_POSITIVE,PLATELETS,24h,1.4146,1.7565,0.285,0.0,2026-09-05T14:50:49.818672
xgboost,v1,BB_A,A_POSITIVE,PLATELETS,24h,0.8053,1.0351,0.1623,-0.0176,2026-09-05T14:50:49.818672
seasonal_naive,v1,BB_A,A_POSITIVE,RBC,24h,1.4512,2.063,0.1194,0.0122,2026-09-05T14:50:49.874478
xgboost,v1,BB_A,A_POSITIVE,RBC,24h,0.9115,1.1888,0.075,-0.0456,2026-09-05T14:50:49.874478
seasonal_naive,v1,BB_A,A_POSITIVE,WHOLE_BLOOD,24h,1.4329,1.8854,0.4273,0.0061,2026-09-05T14:50:49.905199
xgboost,v1,BB_A,A_POSITIVE,WHOLE_BLOOD,24h,0.9005,1.1168,0.2685,-0.075,2026-09-05T14:50:49.905199
seasonal_naive,v1,BB_A,B_NEGATIVE,PLASMA,24h,1.1463,1.4692,1.2208,0.0366,2026-09-05T14:50:50.035012
xgboost,v1,BB_A,B_NEGATIVE,PLASMA,24h,0.7346,0.8786,0.7823,0.1029,2026-09-05T14:50:50.035012
seasonal_naive,v1,BB_A,B_NEGATIVE,PLATELETS,24h,1.0488,1.3749,1.0,0.0,2026-09-05T14:50:50.065353
xgboost,v1,BB_A,B_NEGATIVE,PLATELETS,24h,0.7381,0.9346,0.7037,0.0301,2026-09-05T14:50:50.065353
seasonal_naive,v1,BB_A,B_NEGATIVE,RBC,24h,1.5854,1.9816,1.1304,0.0366,2026-09-05T14:50:50.092241
xgboost,v1,BB_A,B_NEGATIVE,RBC,24h,0.7735,0.9475,0.5515,0.065,2026-09-05T14:50:50.092241
seasonal_naive,v1,BB_A,B_NEGATIVE,WHOLE_BLOOD,24h,0.9329,1.242,1.1679,-0.0305,2026-09-05T14:50:50.119100
xgboost,v1,BB_A,B_NEGATIVE,WHOLE_BLOOD,24h,0.6205,0.7466,0.7768,0.0734,2026-09-05T14:50:50.119100
seasonal_naive,v1,BB_A,B_POSITIVE,PLASMA,24h,1.4329,1.7617,0.4116,-0.0183,2026-09-05T14:50:50.238590
xgboost,v1,BB_A,B_POSITIVE,PLASMA,24h,0.8127,1.0487,0.2334,-0.0756,2026-09-05T14:50:50.238590
seasonal_naive,v1,BB_A,B_POSITIVE,PLATELETS,24h,1.4024,1.7738,0.6745,0.0488,2026-09-05T14:50:50.267711
